"RouteUID","RouteID","RouteName","SubRouteUID","SubRouteID","SubRouteName","Direction","Sequence","FromStopID","ToStopID","Distance"
"HSZ0020","0020","2","HSZ0020A2","0020A2","2支A",1,18,"304417","304416","404.53"
"HSZ0020","0020","2","HSZ0020A2","0020A2","2支A",1,19,"304416","304261","354.69"
"HSZ0020","0020","2","HSZ0020A2","0020A2","2支A",1,20,"304261","304259","386.08"
"HSZ0100","0100","10","HSZ010001","010001","10",0,1,"","291311",""
"HSZ0100","0100","10","HSZ010001","010001","10",0,2,"291311","291740","331.31"
"HSZ0100","0100","10","HSZ010001","010001","10",0,3,"291740","291306","261.25"
"HSZ0100","0100","10","HSZ010001","010001","10",0,4,"291306","291307","489.39"
"HSZ0100","0100","10","HSZ010001","010001","10",0,5,"291307","291304","313.11"
"HSZ0100","0100","10","HSZ010001","010001","10",0,6,"291304","291308","318.47"
"HSZ0100","0100","10","HSZ010001","010001","10",0,7,"291308","291305","418.69"
"HSZ0100","0100","10","HSZ010001","010001","10",0,8,"291305","291300","365.99"
"HSZ0100","0100","10","HSZ010001","010001","10",0,9,"291300","291310","212.25"
"HSZ0100","0100","10","HSZ010001","010001","10",0,10,"291310","291297","215.77"
"HSZ0100","0100","10","HSZ010001","010001","10",0,11,"291297","291302","387.02"
"HSZ0100","0100","10","HSZ010001","010001","10",0,12,"291302","291298","336.75"
"HSZ0100","0100","10","HSZ010001","010001","10",0,13,"291298","291299","346.28"
"HSZ0100","0100","10","HSZ010001","010001","10",0,14,"291299","291312","343.35"
"HSZ0100","0100","10","HSZ010001","010001","10",0,15,"291312","291309","308.11"
"HSZ0100","0100","10","HSZ010001","010001","10",0,16,"291309","291303",""
"HSZ0100","0100","10","HSZ010002","010002","10",1,1,"","291303",""
"HSZ0100","0100","10","HSZ010002","010002","10",1,2,"291303","291324",""
"HSZ0100","0100","10","HSZ010002","010002","10",1,3,"291324","291326","322.4"
"HSZ0100","0100","10","HSZ010002","010002","10",1,4,"291326","291315","283.37"
"HSZ0100","0100","10","HSZ010002","010002","10",1,5,"291315","291314","323.77"
"HSZ0100","0100","10","HSZ010002","010002","10",1,6,"291314","291744","119.09"
"HSZ0100","0100","10","HSZ010002","010002","10",1,7,"291744","291313","358.7"
"HSZ0100","0100","10","HSZ010002","010002","10",1,8,"291313","291325","449.92"
"HSZ0100","0100","10","HSZ010002","010002","10",1,9,"291325","291316","214.46"
"HSZ0100","0100","10","HSZ010002","010002","10",1,10,"291316","291320","240.3"
"HSZ0100","0100","10","HSZ010002","010002","10",1,11,"291320","291323","246.1"
"HSZ0100","0100","10","HSZ010002","010002","10",1,12,"291323","291319","293.11"
"HSZ0100","0100","10","HSZ010002","010002","10",1,13,"291319","291322","302.4"
"HSZ0100","0100","10","HSZ010002","010002","10",1,14,"291322","291265","405.82"
"HSZ0100","0100","10","HSZ010002","010002","10",1,15,"291265","291256","359.24"
"HSZ0110","0110","11","HSZ0110A1","0110A1","11A",0,1,"","291301",""
"HSZ0110","0110","11","HSZ0110A1","0110A1","11A",0,2,"291301","291742","289.99"
"HSZ0110","0110","11","HSZ0110A1","0110A1","11A",0,3,"291742","291307","564.57"
"HSZ0110","0110","11","HSZ0110A1","0110A1","11A",0,4,"291307","291333","288.14"
"HSZ0110","0110","11","HSZ0110A1","0110A1","11A",0,5,"291333","291332","258.7"
"HSZ0110","0110","11","HSZ0110A1","0110A1","11A",0,6,"291332","291334","217.29"
"HSZ0110","0110","11","HSZ0110A1","0110A1","11A",0,7,"291334","291335","158.22"
"HSZ0110","0110","11","HSZ0110A1","0110A1","11A",0,8,"291335","291300","375.82"
"HSZ0110","0110","11","HSZ0110A1","0110A1","11A",0,9,"291300","291310","421.27"
"HSZ0110","0110","11","HSZ0110A1","0110A1","11A",0,10,"291310","291330","429.37"
"HSZ0110","0110","11","HSZ0110A1","0110A1","11A",0,11,"291330","291343","170.07"
"HSZ0110","0110","11","HSZ0110A1","0110A1","11A",0,12,"291343","291342","385.44"
"HSZ0110","0110","11","HSZ0110A1","0110A1","11A",0,13,"291342","291327","167.04"
"HSZ0110","0110","11","HSZ0110A1","0110A1","11A",0,14,"291327","291347","202.67"
"HSZ0110","0110","11","HSZ0110A1","0110A1","11A",0,15,"291347","291339","270.09"
"HSZ0110","0110","11","HSZ0110A1","0110A1","11A",0,16,"291339","291338","157.25"
"HSZ0110","0110","11","HSZ0110A1","0110A1","11A",0,17,"291338","291328","329.41"
